# id	name	additionalname	description	popup	supercnt0	set_ids_cnt	set_ids_text	set_bonus_desc	supercnt1	set_extra_ids_cnt	set_extra_ids_text	set_extra_desc	UNK1_1	UNK1_2	UNK1_3	UNK1_4	UNK1_5	UNK1_6	UNK1_7	UNK1_8	UNK1_9	special_enchant_amount	special_enchant_desc	UNK2	
17	Wooden Arrow		An arrow made of wood. It is an arrow used for a no grade bow.	-1	0	0			0	0												0		1
53	(Not In Use)		Vitamin item pack\nA wrapped pack containing a Sudden Agathion Bracelet (30 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
54	(Not In Use)		Vitamin item pack\nA wrapped pack containing a Shiny Agathion Bracelet (30 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
55	Shiny Agathion 7-Day Pack (Event)		Vitamin item pack\nA wrapped pack containing a Shiny Agathion Bracelet (7 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
56	Sobbing Agathion 7-Day Pack (Event)		Vitamin item pack\nA wrapped pack containing a Sobbing Agathion Bracelet (7 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
57	Adena			-1	0	0			0	0												0		1
65	Red Potion			-1	0	0			0	0												0		1
136	(Not In Use)		Vitamin item pack\nA wrapped pack containing a Sudden Agathion Bracelet (30 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
137	(Not In Use)		Vitamin item pack\nA wrapped pack containing a Shiny Agathion Bracelet (30 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
138	(Not In Use)		Vitamin item pack\nA wrapped pack containing a Sobbing Agathion Bracelet (30 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
139	Sudden Agathion 7-Day Pack		Vitamin item pack\nA wrapped pack containing a Sudden Agathion Bracelet (7 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
140	Shiny Agathion 7-Day Pack		Vitamin item pack\nA wrapped pack containing a Shiny Agathion Bracelet (7 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
141	Sobbing Agathion 7-Day Pack		Vitamin item pack\nA wrapped pack containing a Sobbing Agathion Bracelet (7 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
163	(Not In Use)		Vitamin item pack\nA wrapped pack containing a Sobbing Agathion Bracelet (30 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
170	Sudden Agathion 7-Day Pack (Event)		Vitamin item pack\nA wrapped pack containing a Sudden Agathion Bracelet (7 days). Cannot be exchanged or dropped. Can be stored in a private warehouse.	-1	0	0			0	0												0		1
686	Chair		Chair	-1	0	0			0	0												0		1
687	Darin's Letter		The love letter that Darin has written to Roxxy. Darin has asked you to deliver this letter to Gatekeeper Roxxy.	-1	0	0			0	0												0		1
688	Roxxy's Kerchief		Roxxy's handkerchief. This is the reply that Roxxy has given to Darin's letter, and must be delivered to Darin.	-1	0	0			0	0												0		1
689	Poetry Book		A poetry book treasured by Arujien. The book contains poems that he has written. Take this to Greenis.	-1	0	0			0	0												0		1
690	Lyrics Book		The lyrics book of Herbien	-1	0	0			0	0												0		1
691	Romance Novel		A romance novel	-1	0	0			0	0												0		1
692	Arujien's Letter		Arujien's letter	-1	0	0			0	0												0		1
693	Greenis's Letter		Greenis's letter, refusing Arujien's love. Take this to Arujien.	-1	0	0			0	0												0		1
694	Ingredient List		A list of ingredients: 3 omen beast bloods, 2 mana seeker husks, 2 gargoyle horns	-1	0	0			0	0												0		1
695	Omen Beast's Blood		The blood of an omen beast.	-1	0	0			0	0												0		1
696	Mana Seeker's Husk		The husk of a mana seeker.	-1	0	0			0	0												0		1
697	Gargoyle's Horn		The horn of a gargoyle.	-1	0	0			0	0												0		1
698	Gilbert's List		A list of things to eliminate: orcs, hobgoblins, walking fungus	-1	0	0			0	0												0		1
699	Orc's Nose		The nose of an orc.	-1	0	0			0	0												0		1
700	_		Description of the hobgoblin amulet	-1	0	0			0	0												0		1
701	Fungus Juice		The juice of a fungus.	-1	0	0			0	0												0		1
702	Wolf Pelt		Gather forty wolf pelts and take them to Trader Lector of the weapons and armor shop.	-1	0	0			0	0												0		1
703	Giant Spider's Poison Sac		Giant Spider's Poison Sacs obtained from the dead giant spider. Take this to Priest Yohanes.	-1	0	0			0	0												0		1
704	Fever Medicine		A medicine concocted by Priest Yohanes for the students who are ill with fever. Take this to Elias.	-1	0	0			0	0												0		1
705	_		Description of an Orc feather amulet.	-1	0	0			0	0												0		1
706	Basilisk's Claw		A basilisk's claw.	-1	0	0			0	0												0		1
707	Spore Sac		A sac obtained from the spore fungus. Gather 10 of these and take them to Trader Vollodos.	-1	0	0			0	0												0		1
708	Sylph Headband		A Sylph Headband	-1	0	0			0	0												0		1
709	Leather Shirt			-1	0	0			0	0												0		1
710	Hard Leather Shirt			-1	0	0			0	0												0		1
711	Piece Bone Breastplate			-1	0	0			0	0												0		1
712	Half Plate Armor			-1	0	0			0	0												0		1
713	Leather Pants			-1	0	0			0	0												0		1
714	Hard Leather Pants			-1	0	0			0	0												0		1
715	Piece Bone Gaiters			-1	0	0			0	0												0		1
716	Plate Gaiters			-1	0	0			0	0												0		1
717	Leather Gloves			-1	0	0			0	0												0		1
718	Hard Leather Gloves			-1	0	0			0	0												0		1
719	Crafted Leather Gloves			-1	0	0			0	0												0		1
720	Reinforced Gloves			-1	0	0			0	0												0		1
721	Leather Boots			-1	0	0			0	0												0		1
